,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,동화약품,000020,KR7000020008,0,12980,7000,9990,00001,9990,1,01,N,
1,KR모터스,000040,KR7000040006,0,633,341,487,00001,487,1,01,N,
2,경방,000050,KR7000050005,0,11550,6230,8890,00001,8890,1,01,N,
3,삼양홀딩스,000070,KR7000070003,0,90700,48900,69800,00001,69800,1,01,N,
4,삼양홀딩스우,000075,KR7000071001,0,66900,36100,51500,00001,51500,1,01,N,
5,하이트진로,000080,KR7000080002,0,25200,13590,19410,00001,19410,1,01,N,
6,하이트진로2우B,000087,KR7000082008,0,19530,10530,15030,00001,15030,1,01,N,
7,유한양행,000100,KR7000100008,0,94600,51000,72800,00001,72800,1,01,N,
8,유한양행우,000105,KR7000101006,0,80400,43400,61900,00001,61900,1,01,N,
9,CJ대한통운,000120,KR7000120006,0,102500,55300,78900,00001,78900,1,01,N,
10,하이트진로홀딩스,000140,KR7000140004,0,11160,6020,8590,00001,8590,1,01,N,
11,하이트진로홀딩스우,000145,KR7000141002,0,15600,8400,12000,00001,12000,1,01,N,
12,두산,000150,KR7000150003,0,152800,82400,117600,00001,117600,1,01,N,
13,두산우,000155,KR7000151001,0,75600,40800,58200,00001,58200,1,01,N,
14,두산2우B,000157,KR7000152009,0,128000,69000,98500,00001,98500,1,01,N,
15,성창기업지주,000180,KR7000180000,0,2630,1420,2025,00001,2025,1,01,N,
16,DL,000210,KR7000210005,0,49650,26750,38200,00001,38200,1,01,N,
17,DL우,000215,KR7000211003,0,25800,13900,19850,00001,19850,1,01,N,
18,유유제약,000220,KR7000220004,0,6200,3345,4775,00001,4775,1,01,N,
19,유유제약1우,000225,KR7000221002,0,5760,3105,4435,00001,4435,1,01,N,
20,유유제약2우B,000227,KR7000222000,0,14540,7840,11190,00001,11190,1,01,N,
21,일동홀딩스,000230,KR7000230003,0,13350,7190,10270,00001,10270,1,01,N,
22,한국앤컴퍼니,000240,KR7000240002,0,14170,7630,10900,00001,10900,1,01,N,
23,기아,000270,KR7000270009,0,104200,56200,80200,00001,80200,1,01,N,
24,대유플러스,000300,KR7000300004,0,1075,579,827,00001,827,1,01,N,
25,노루홀딩스,000320,KR7000320002,0,15040,8100,11570,00001,11570,1,01,N,
