,종목명,단축코드,확장코드,ETF구분(1:ETF|2:ETN),상한가,하한가,전일가,주문수량단위,기준가,구분(1:코스피|2:코스닥),증권그룹,기업인수목적회사여부,filler(미사용)
0,삼천당제약,000250,KR7000250001,0,115100,62100,88600,00001,88600,2,01,N,
1,중앙에너비스,000440,KR7000440008,0,22750,12260,17510,00001,17510,2,01,N,
2,신라섬유,001000,KR7001000009,0,2450,1322,1888,00001,1888,2,01,N,
3,안국약품,001540,KR7001540004,0,9810,5290,7550,00001,7550,2,01,N,
4,무림SP,001810,KR7001810001,0,2625,1415,2020,00001,2020,2,01,N,
5,이화공영,001840,KR7001840008,0,5150,2780,3965,00001,3965,2,01,N,
6,피에스텍,002230,KR7002230001,0,5290,2855,4075,00001,4075,2,01,N,
7,삼일기업공사,002290,KR7002290005,0,4940,2660,3800,00001,3800,2,01,N,
8,한탑,002680,KR7002680007,0,1911,1029,1470,00001,1470,2,01,N,
9,신신제약,002800,KR7002800001,0,6380,3440,4910,00001,4910,2,01,N,
10,선광,003100,KR7003100005,0,25900,13960,19930,00001,19930,2,01,N,
11,대주산업,003310,KR7003310000,0,2485,1339,1912,00001,1912,2,01,N,
12,하림지주,003380,KR7003380003,0,9250,4990,7120,00001,7120,2,01,N,
13,에이스침대,003800,KR7003800000,0,33650,18150,25900,00001,25900,2,01,N,
14,한국가구,004590,KR7004590006,0,5580,3010,4295,00001,4295,2,01,N,
15,창해에탄올,004650,KR7004650008,0,13010,7010,10010,00001,10010,2,01,N,
16,대륙제관,004780,KR7004780003,0,5360,2895,4130,00001,4130,2,01,N,
17,동국산업,005160,KR7005160007,0,7350,3970,5660,00001,5660,2,01,N,
18,동진쎄미켐,005290,KR7005290002,0,45950,24750,35350,00001,35350,2,01,N,
19,푸드웰,005670,KR7005670005,0,6610,3570,5090,00001,5090,2,01,N,
20,대원산업,005710,KR7005710009,0,7310,3950,5630,00001,5630,2,01,N,
21,한일사료,005860,KR7005860002,0,6770,3650,5210,00001,5210,2,01,N,
22,매일홀딩스,005990,KR7005990007,0,10940,5900,8420,00001,8420,2,01,N,
23,국영지앤엠,006050,KR7006050009,0,1956,1054,1505,00001,1505,2,01,N,
24,피제이전자,006140,KR7006140008,0,7940,4280,6110,00001,6110,2,01,N,
25,대양제지,006580,KR7006580005,0,4235,2285,3260,00001,3260,2,01,N,
26,동구바이오제약,006620,KR7006620009,0,6940,3740,5340,00001,5340,2,01,N,
27,서부T&D,006730,KR7006730006,0,12090,6510,9300,00001,9300,2,01,N,
28,보성파워텍,006910,KR7006910004,0,4365,2355,3360,00001,3360,2,01,N,
29,모헨즈,006920,KR7006920003,0,5570,3000,4285,00001,4285,2,01,N,
30,푸른저축은행,007330,KR7007330004,0,11750,6330,9040,00001,9040,2,01,N,
31,진양제약,007370,KR7007370000,0,7600,4100,5850,00001,5850,2,01,N,
32,네이처셀,007390,KR7007390008,0,9600,5180,7390,00001,7390,2,01,N,
33,와이엠,007530,KR7007530009,0,4300,2320,3310,00001,3310,2,01,N,
34,대원,007680,KR7007680002,0,7800,4200,6000,00001,6000,2,01,N,
35,대명소노시즌,007720,KR7007720006,0,863,465,664,00001,664,2,01,N,
36,한일화학,007770,KR7007770001,0,26900,14500,20700,00001,20700,2,01,N,
37,에스엠코어,007820,KR7007820004,0,8290,4470,6380,00001,6380,2,01,N,
38,원풍물산,008290,KR7008290009,0,1214,654,934,00001,934,2,01,N,
39,원풍,008370,KR7008370009,0,5290,2855,4075,00001,4075,2,01,N,
40,부스타,008470,KR7008470007,0,6160,3320,4740,00001,4740,2,01,N,
41,대동기어,008830,KR7008830002,0,7460,4020,5740,00001,5740,2,01,N,
42,삼아제약,009300,KR7009300005,0,22000,11870,16950,00001,16950,2,01,N,
43,포스코엠텍,009520,KR7009520008,0,38350,20650,29500,00001,29500,2,01,N,
44,삼보산업,009620,KR7009620006,0,1323,713,1018,00001,1018,2,01,N,
45,코센,009730,KR7009730003,0,6240,3360,4800,00001,4800,2,01,N,
46,엠에스씨,009780,KR7009780008,0,7720,4160,5940,00001,5940,2,01,N,
