,종목명,단축코드,확장코드,기초자산코드
0,삼성전자   F 202309,111T9000,KR4111T90002,A005930
1,삼성전자   F 202310,111TA000,KR4111TA0008,A005930
2,삼성전자   F 202311,111TB000,KR4111TB0007,A005930
3,삼성전자   F 202312,111TC000,KR4111TC0006,A005930
4,삼성전자   F 202403,111V3000,KR4111V30004,A005930
5,삼성전자   F 202406,111V6000,KR4111V60001,A005930
6,삼성전자   F 202412,111VC000,KR4111VC0002,A005930
7,삼성전자   F 202506,111W6000,KR4111W60009,A005930
8,삼성전자   F 202512,111WC000,KR4111WC0001,A005930
9,SK텔레콤   F 202309,112T9000,KR4112T90000,A017670
10,SK텔레콤   F 202310,112TA000,KR4112TA0007,A017670
11,SK텔레콤   F 202311,112TB000,KR4112TB0006,A017670
12,SK텔레콤   F 202312,112TC000,KR4112TC0005,A017670
13,SK텔레콤   F 202403,112V3000,KR4112V30002,A017670
14,SK텔레콤   F 202406,112V6000,KR4112V60009,A017670
15,SK텔레콤   F 202412,112VC000,KR4112VC0001,A017670
16,SK텔레콤   F 202506,112W6000,KR4112W60007,A017670
17,SK텔레콤   F 202512,112WC000,KR4112WC0000,A017670
18,POSCO 홀딩 F 202309,113T9000,KR4113T90008,A005490
19,POSCO 홀딩 F 202310,113TA000,KR4113TA0006,A005490
20,POSCO 홀딩 F 202311,113TB000,KR4113TB0005,A005490
21,POSCO 홀딩 F 202312,113TC000,KR4113TC0004,A005490
22,POSCO 홀딩 F 202403,113V3000,KR4113V30000,A005490
23,POSCO 홀딩 F 202406,113V6000,KR4113V60007,A005490
24,POSCO 홀딩 F 202412,113VC000,KR4113VC0000,A005490
25,POSCO 홀딩 F 202506,113W6000,KR4113W60005,A005490
26,POSCO 홀딩 F 202512,113WC000,KR4113WC0009,A005490
27,KT         F 202309,114T9000,KR4114T90006,A030200
28,KT         F 202310,114TA000,KR4114TA0005,A030200
29,KT         F 202311,114TB000,KR4114TB0004,A030200
30,KT         F 202312,114TC000,KR4114TC0003,A030200
31,KT         F 202403,114V3000,KR4114V30008,A030200
32,KT         F 202406,114V6000,KR4114V60005,A030200
33,KT         F 202412,114VC000,KR4114VC0009,A030200
34,KT         F 202506,114W6000,KR4114W60003,A030200
35,KT         F 202512,114WC000,KR4114WC0008,A030200
36,한국전력   F 202309,115T9000,KR4115T90003,A015760
37,한국전력   F 202310,115TA000,KR4115TA0004,A015760
38,한국전력   F 202311,115TB000,KR4115TB0003,A015760
39,한국전력   F 202312,115TC000,KR4115TC0002,A015760
40,한국전력   F 202403,115V3000,KR4115V30005,A015760
41,한국전력   F 202406,115V6000,KR4115V60002,A015760
42,한국전력   F 202412,115VC000,KR4115VC0008,A015760
43,한국전력   F 202506,115W6000,KR4115W60000,A015760
44,한국전력   F 202512,115WC000,KR4115WC0007,A015760
45,현대차     F 202309,116T9000,KR4116T90001,A005380
46,현대차     F 202310,116TA000,KR4116TA0003,A005380
47,현대차     F 202311,116TB000,KR4116TB0002,A005380
48,현대차     F 202312,116TC000,KR4116TC0001,A005380
49,현대차     F 202403,116V3000,KR4116V30003,A005380
50,현대차     F 202406,116V6000,KR4116V60000,A005380
51,현대차     F 202412,116VC000,KR4116VC0007,A005380
52,현대차     F 202506,116W6000,KR4116W60008,A005380
53,현대차     F 202512,116WC000,KR4116WC0006,A005380
54,삼성증권   F 202309,117T9000,KR4117T90009,A016360
55,삼성증권   F 202310,117TA000,KR4117TA0002,A016360
56,삼성증권   F 202311,117TB000,KR4117TB0001,A016360
57,삼성증권   F 202312,117TC000,KR4117TC0000,A016360
58,삼성증권   F 202403,117V3000,KR4117V30001,A016360
59,삼성증권   F 202406,117V6000,KR4117V60008,A016360
60,삼성증권   F 202412,117VC000,KR4117VC0006,A016360
61,삼성증권   F 202506,117W6000,KR4117W60006,A016360
62,삼성증권   F 202512,117WC000,KR4117WC0005,A016360
63,신한지주   F 202309,118T9000,KR4118T90007,A055550
